ULC116,Ulcer,溃疡,Ulcère,Disease,Gastroenterology,Digestive,"Mucosal break","黏膜破损","Gastric ulcer treatment.","胃溃疡治疗。","Traitement de l'ulcère gastrique."
ULS117,Ultrasound,超声,Échographie,Diagnostic,Imaging,Radiology,"Sound wave imaging","无创检查","Abdominal ultrasound for gallstones.","腹部超声查胆结石。","Échographie abdominale pour les calculs biliaires."
URI118,Urine,尿液,Urine,Physiology,General,Renal,"Kidney filtrate","肾脏排泄液体","Collect midstream urine.","收集中段尿。","Recueillir un jet moyen d'urine."
VAC119,Vaccine,疫苗,Vaccin,Treatment,Preventive,Infectious,"Immunization preparation","主动免疫","COVID vaccine reduces severity.","新冠疫苗减轻重症。","Le vaccin COVID réduit la gravité."
VEI120,Vein,静脉,Veine,Anatomy,General,Cardiovascular,"Blood vessel to heart","血液回心管道","Draw blood from the vein.","从静脉抽血。","Prélever du sang dans la veine."
ID,EN Term,ZH Term,FR Term,Category,Subcategory,Domain,Definition,Notes,Example_EN,Example_ZH,Example_FR
ULS121,Ultrasound,超声,Échographie,Diagnostic,Imaging,Radiology,"Sound wave imaging","无创检查","Abdominal ultrasound for gallstones.","腹部超声查胆结石。","Échographie abdominale pour les calculs biliaires."
VAC122,Vaccine,疫苗,Vaccin,Treatment,Preventive,Infectious,"Immunization preparation","主动免疫","COVID vaccine reduces severity.","新冠疫苗减轻重症。","Le vaccin COVID réduit la gravité."
VEI123,Vein,静脉,Veine,Anatomy,General,Cardiovascular,"Blood vessel to heart","血液回心管道","Draw blood from the vein.","从静脉抽血。","Prélever du sang dans la veine."
VIR124,Virus,病毒,Virus,Pathogen,Microbiology,Infectious,"Infectious microorganism","非细胞病原体","Antibiotics don't kill viruses.","抗生素不杀病毒。","Les antibiotiques ne tuent pas les virus."
WEI125,Weight,体重,Poids,Measurement,General,General,"Body mass measurement","健康重要指标","Monitor weight weekly.","每周监测体重。","Surveiller le poids hebdomadairement."
WHE126,Wheeze,哮鸣音,Sibilance,Symptom,Respiratory,Respiratory,"Whistling breathing sound","气道狭窄音","Wheeze suggests asthma.","哮鸣音提示哮喘。","Des sibilances suggèrent de l'asthme."
WOU127,Wound,伤口,Plaie,Injury,Trauma,Trauma,"Tissue injury","清洁伤口防感染","Clean the wound thoroughly.","彻底清洁伤口。","Nettoyer soigneusement la plaie."
XER128,Xerosis,皮肤干燥,Xérose,Condition,General,Dermatology,"Abnormal skin dryness","角质层缺水","Xerosis needs moisturizer.","皮肤干燥需保湿剂。","La xérose nécessite une crème hydratante."
XER129,Xerostomia,口干,Xérostomie,Symptom,Dental,Digestive,"Dry mouth","唾液分泌减少","Chemotherapy causes xerostomia.","化疗导致口干。","La chimiothérapie provoque une xérostomie."
XRA130,X-ray,X光片,Radiographie,Diagnostic,Imaging,Radiology,"Electromagnetic radiation imaging","骨骼系统检查","Chest X-ray shows pneumonia.","胸片显示肺炎。","La radiographie pulmonaire montre une pneumonie."
YEA131,Yeast infection,酵母菌感染,Infection à levures,Disease,Dermatology,Infectious,"Fungal overgrowth","真菌感染","Yeast infection needs antifungals.","酵母菌感染需抗真菌药。","L'infection à levures nécessite des antifongiques."
YEL132,Yellow fever,黄热病,Fièvre jaune,Disease,Infectious,Infectious,"Mosquito-borne viral disease","蚊媒传染病","Yellow fever vaccine exists.","有黄热病疫苗。","Le vaccin contre la fièvre jaune existe."
ZIN133,Zinc,锌,Zinc,Medication,Nutrition,Metabolic,"Essential trace element","微量元素补充","Zinc aids wound healing.","锌促进伤口愈合。","Le zinc favorise la cicatrisation."
ZOS134,Zoster,带状疱疹,Zona,Disease,Infectious,Infectious,"Viral nerve infection","水痘病毒再激活","Zoster causes painful rash.","带状疱疹引起疼痛性皮疹。","Le zona provoque une éruption cutanée douloureuse."
PRO135,Position,摆放体位,Positionner,Procedure,General,General,"Patient placement","诊疗体位","Position the patient supine.","摆放患者仰卧位。","Positionner le patient en décubitus dorsal."
PRO136,Restrain,约束,Contentir,Procedure,Psychiatry,Psychiatry,"Limit patient movement","保护性措施","Restrain the agitated patient.","约束躁动患者。","Contentir le patient agité."
PRO137,Resuscitate,复苏,Réanimer,Procedure,Emergency,Emergency,"Emergency life support","心肺复苏","Resuscitate the cardiac arrest patient.","对心脏骤停患者进行复苏。","Réanimer le patient en arrêt cardiaque."
PRO138,Defibrillate,除颤,Défibriller,Procedure,Emergency,Cardiovascular,"Electric shock to heart","电击复律","Defibrillate ventricular fibrillation.","对室颤进行除颤。","Défibriller la fibrillation ventriculaire."
VIT139,Blood Pressure,血压,Pression artérielle,Vital Sign,General,Cardiovascular,"Force of blood on arteries","收缩压/舒张压","BP 120/80 is normal.","血压120/80为正常值。","Une PA de 120/80 est normale."
VIT140,Heart Rate,心率,Fréquence cardiaque,Vital Sign,General,Cardiovascular,"Heart beats per minute","60-100次/分正常","HR 72 and regular.","心率72次且规则。","FC à 72 et régulière."
VIT141,Respiratory Rate,呼吸频率,Fréquence respiratoire,Vital Sign,General,Respiratory,"Breaths per minute","12-20次/分正常","Count RR for 1 minute.","计数呼吸频率1分钟。","Compter la FR pendant 1 minute."
VIT142,Oxygen Saturation,血氧饱和度,Saturation en oxygène,Vital Sign,General,Respiratory,"Oxygen in hemoglobin",">95%正常","SpO2 98% on room air.","未吸氧时血氧98%。","SpO2 à 98% en air ambiant."
VIT143,Capillary Refill,毛细血管再充盈,Temps de recoloration capillaire,Vital Sign,General,Cardiovascular,"Blood return time","<2秒正常","Delayed refill in shock.","休克时再充盈延迟。","Temps de recoloration prolongé dans le choc."
VIT144,Consciousness Level,意识水平,Niveau de conscience,Vital Sign,General,Neurological,"Awareness state","AVPU评估法","Patient is alert.","患者清醒。","Le patient est alerte."
VIT145,Pain Score,疼痛评分,Score de douleur,Vital Sign,General,General,"Pain intensity measurement","0-10分标准","Pain score 4/10.","疼痛评分4分。","Douleur à 4/10."
VIT146,Skin Color,皮肤颜色,Couleur de la peau,Vital Sign,General,General,"Complexion observation","苍白/发绀/潮红","Pale skin in anemia.","贫血时皮肤苍白。","Peau pâle dans l'anémie."
VIT147,Pupil Size,瞳孔大小,Taille pupillaire,Vital Sign,Neurological,Neurological,"Pupil diameter","2-4mm正常","Pinpoint pupils in opioid OD.","阿片类药物过量时针尖样瞳孔。","Pupilles en point d'épingle dans l'overdose d'opioïdes."
VIT148,Respiratory Effort,呼吸努力,Effort respiratoire,Vital Sign,Respiratory,Respiratory,"Breathing work","观察辅助肌使用","Increased effort in asthma.","哮喘时呼吸费力。","Effort accru dans l'asthme."
VIT149,Breath Sounds,呼吸音,Bruits respiratoires,Vital Sign,Respiratory,Respiratory,"Lung auscultation findings","清音/啰音/哮鸣音","Clear breath sounds bilaterally.","双肺呼吸音清。","Bruits respiratoires clairs bilatéralement."
VIT150,Oxygen Flow Rate,氧流量,Débit d'oxygène,Vital Sign,Respiratory,Respiratory,"Supplemental oxygen delivery","升/分钟","Increase O2 to 6L/min.","氧流量增至6升/分钟。","Augmenter l'O2 à 6L/min."
